
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    35.00   -20.00    -5.92    -5.69    -6.71    -3.17    -2.08    -5.37    -0.31     0.23    -0.54   -72.01    79.25    52.69    53.24
    35.00   -30.00    -8.80    -8.63    -7.09    -2.94    -5.18    -7.93    -0.70     0.16    -0.87   -23.51    82.14    35.50    36.10
    35.00   -40.00   -11.69   -11.61    -7.41    -2.66    -9.52   -10.38    -1.22     0.08    -1.30    -6.56    85.12    26.81    27.46
    35.00   -50.00   -14.59   -14.61    -7.68    -2.33   -15.08   -12.74    -1.87    -0.02    -1.85     1.33    88.19    21.56    22.27
    35.00   -60.00   -17.51   -17.66    -7.88    -1.94   -21.84   -15.02    -2.63    -0.15    -2.49     5.61    91.35    18.05    18.81
    35.00   -70.00   -20.46   -20.74    -8.01    -1.51   -29.79   -17.24    -3.50    -0.28    -3.21     8.11    94.62    15.54    16.34
    40.00     0.00    -0.17     0.17    -5.90    -3.53     0.31    -0.17     0.00    -0.34     0.34 ********    73.58 ******** ********
    40.00    10.00     2.72     3.05    -5.33    -3.66    -0.31     2.65     0.07    -0.33     0.40  -437.02    70.90   102.19   102.69
    40.00    20.00     5.63     5.92    -4.70    -3.77    -2.16     5.32     0.31    -0.29     0.60   -93.59    68.29    52.69    53.24
    40.00    30.00     8.56     8.79    -4.00    -3.87    -5.24     7.87     0.69    -0.23     0.92   -33.12    65.74    35.56    36.16
    40.00    40.00    11.51    11.66    -3.23    -3.97    -9.56    10.31     1.21    -0.15     1.35   -12.10    63.25    26.87    27.53
    40.00    50.00    14.50    14.54    -2.40    -4.09   -15.08    12.66     1.85    -0.04     1.89    -2.35    60.83    21.63    22.33
