
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    30.00   -60.00   -17.09   -17.29    -3.77    -2.03   -21.91   -13.30    -3.99    -0.21    -3.78     5.19    91.48    10.62    11.39
    30.00   -70.00   -19.96   -20.32    -3.92    -1.69   -29.90   -15.08    -5.25    -0.36    -4.88     6.93    94.75     9.14     9.96
    35.00     0.00    -0.17     0.17    -1.76    -3.53     0.40     0.17    -0.00     0.34    -0.34 ********    73.67 ******** ********
    35.00    10.00     2.66     2.98    -1.19    -3.71    -0.22     2.53     0.12    -0.32     0.44  -265.82    70.99    60.07    60.57
    35.00    20.00     5.50     5.78    -0.56    -3.89    -2.08     5.01     0.49    -0.28     0.77   -56.86    68.37    30.99    31.54
    35.00    30.00     8.37     8.58     0.14    -4.08    -5.18     7.28     1.09    -0.21     1.30   -19.57    65.82    20.92    21.53
    35.00    40.00    11.26    11.38     0.90    -4.29    -9.52     9.39     1.87    -0.12     1.99    -6.37    63.32    15.82    16.48
    35.00    50.00    14.19    14.19     1.73    -4.52   -15.08    11.36     2.83    -0.00     2.83    -0.09    60.89    12.73    13.44
    35.00    60.00    17.16    17.03     2.63    -4.80   -21.84    13.22     3.94     0.13     3.80     3.42    58.52    10.66    11.42
    35.00    70.00    20.17    19.88     3.61    -5.14   -29.79    14.99     5.18     0.29     4.89     5.56    56.21     9.18     9.99
    35.00     0.00    -0.17     0.17    -1.76    -3.53     0.40     0.17    -0.00     0.34    -0.34 ********    73.67 ******** ********
    35.00   -10.00    -2.98    -2.66    -2.26    -3.34    -0.22    -2.53    -0.12     0.32    -0.44  -265.82    76.42    60.07    60.57
    35.00   -20.00    -5.78    -5.50    -2.71    -3.13    -2.08    -5.01    -0.49     0.28    -0.77   -56.86    79.25    30.99    31.54
    35.00   -30.00    -8.58    -8.37    -3.10    -2.90    -5.18    -7.28    -1.09     0.21    -1.30   -19.57    82.14    20.92    21.53
    35.00   -40.00   -11.38   -11.26    -3.43    -2.65    -9.52    -9.39    -1.87     0.12    -1.99    -6.37    85.12    15.82    16.48
    35.00   -50.00   -14.19   -14.19    -3.69    -2.36   -15.08   -11.36    -2.83     0.00    -2.83    -0.09    88.19    12.73    13.44
    35.00   -60.00   -17.03   -17.16    -3.91    -2.04   -21.84   -13.22    -3.94    -0.13    -3.80     3.42    91.35    10.66    11.42
    35.00   -70.00   -19.88   -20.17    -4.06    -1.69   -29.79   -14.99    -5.18    -0.29    -4.89     5.56    94.62     9.18     9.99
    40.00     0.00    -0.20     0.20    -1.90    -3.55     0.31    -0.20     0.00    -0.40     0.40 ********    73.58 ******** ********
    40.00    10.00     2.61     3.00    -1.33    -3.73    -0.31     2.49     0.12    -0.39     0.51  -333.52    70.90    59.70    60.20
    40.00    20.00     5.43     5.78    -0.70    -3.90    -2.16     4.95     0.48    -0.35     0.83   -72.36    68.29    30.97    31.52
    40.00    30.00     8.28     8.57    -0.01    -4.09    -5.24     7.22     1.07    -0.28     1.35   -26.50    65.74    20.95    21.56
    40.00    40.00    11.16    11.36     0.75    -4.30    -9.56     9.32     1.84    -0.19     2.03   -10.39    63.25    15.85    16.51
    40.00    50.00    14.08    14.15     1.58    -4.53   -15.08    11.29     2.79    -0.08     2.87    -2.78    60.83    12.76    13.47
    40.00    60.00    17.03    16.97     2.48    -4.81   -21.81    13.14     3.88     0.06     3.83     1.45    58.46    10.69    11.45
    40.00    70.00    20.02    19.81     3.45    -5.14   -29.73    14.91     5.11     0.21     4.91     4.03    56.15     9.21    10.02
    40.00     0.00    -0.20     0.20    -1.90    -3.55     0.31     0.20    -0.00     0.40    -0.40 ********    73.58 ******** ********
    40.00   -10.00    -3.00    -2.61    -2.40    -3.35    -0.31    -2.49    -0.12     0.39    -0.51  -333.52    76.33    59.70    60.20
    40.00   -20.00    -5.78    -5.43    -2.85    -3.15    -2.16    -4.95    -0.48     0.35    -0.83   -72.36    79.14    30.97    31.52
    40.00   -30.00    -8.57    -8.28    -3.24    -2.91    -5.24    -7.22    -1.07     0.28    -1.35   -26.50    82.04    20.95    21.56
    40.00   -40.00   -11.36   -11.16    -3.56    -2.66    -9.56    -9.32    -1.84     0.19    -2.03   -10.39    85.01    15.85    16.51
    40.00   -50.00   -14.15   -14.08    -3.83    -2.37   -15.08   -11.29    -2.79     0.08    -2.87    -2.78    88.07    12.76    13.47
    40.00   -60.00   -16.97   -17.03    -4.05    -2.04   -21.81   -13.14    -3.88    -0.06    -3.83     1.45    91.23    10.69    11.45
    40.00   -70.00   -19.81   -20.02    -4.20    -1.69   -29.73   -14.91    -5.11    -0.21    -4.91     4.03    94.49     9.21    10.02
     0.00     0.00    -0.00     0.00    -1.00    -3.44     0.00     0.00    -0.00    -0.00     0.00     0.00    74.48 ******** ********
     0.00    10.00     2.94     2.92    -0.43    -3.63    -0.65     2.79     0.15     0.02     0.13    10.38    71.78    61.19    61.69
     0.00    20.00     5.90     5.84     0.21    -3.81    -2.60     5.33     0.56     0.06     0.50    10.81    69.14    30.69    31.24
     0.00    30.00     8.88     8.75     0.92    -4.01    -5.85     7.67     1.21     0.14     1.08    11.19    66.57    20.52    21.13
     0.00    40.00    11.90    11.66     1.69    -4.22   -10.39     9.83     2.07     0.24     1.83    11.52    64.05    15.44    16.10
     0.00    50.00    14.96    14.59     2.54    -4.46   -16.20    11.85     3.10     0.37     2.74    11.78    61.60    12.39    13.11
     0.00    60.00    18.05    17.54     3.47    -4.75   -23.26    13.76     4.30     0.51     3.78    11.96    59.21    10.36    11.13
     0.00    70.00    21.20    20.52     4.47    -5.09   -31.55    15.57     5.63     0.68     4.95    12.03    56.87     8.90     9.73
     0.00     0.00    -0.00     0.00    -1.00    -3.44     0.00     0.00    -0.00    -0.00     0.00     0.00    74.48 ******** ********
     0.00   -10.00    -2.92    -2.94    -1.51    -3.25    -0.65    -2.79    -0.15    -0.02    -0.13    10.38    77.25    61.19    61.69
     0.00   -20.00    -5.84    -5.90    -1.95    -3.04    -2.60    -5.33    -0.56    -0.06    -0.50    10.81    80.09    30.69    31.24
     0.00   -30.00    -8.75    -8.88    -2.33    -2.81    -5.85    -7.67    -1.21    -0.14    -1.08    11.19    83.01    20.52    21.13
     0.00   -40.00   -11.66   -11.90    -2.65    -2.56   -10.39    -9.83    -2.07    -0.24    -1.83    11.52    86.02    15.44    16.10
     0.00   -50.00   -14.59   -14.96    -2.91    -2.28   -16.20   -11.85    -3.10    -0.37    -2.74    11.78    89.11    12.39    13.11
     0.00   -60.00   -17.54   -18.05    -3.10    -1.97   -23.26   -13.76    -4.30    -0.51    -3.78    11.96    92.30    10.36    11.13
     0.00   -70.00   -20.52   -21.20    -3.23    -1.63   -31.55   -15.57    -5.63    -0.68    -4.95    12.03    95.59     8.90     9.73
    -5.00     0.00     0.01    -0.01    -0.93    -3.43    -0.22    -0.01    -0.00    -0.03     0.03     0.00    74.62 ******** ********
    -5.00    10.00     2.97     2.93    -0.35    -3.61    -0.88     2.82     0.15     0.04     0.11    27.80    71.92    61.10    61.60
    -5.00    20.00     5.95     5.86     0.29    -3.80    -2.85     5.37     0.57     0.09     0.48    15.30    69.28    30.57    31.13
    -5.00    30.00     8.95     8.79     0.99    -3.99    -6.12     7.72     1.23     0.16     1.07    13.22    66.71    20.43    21.04
    -5.00    40.00    11.99    11.72     1.77    -4.21   -10.70     9.89     2.09     0.27     1.83    12.67    64.19    15.36    16.03
    -5.00    50.00    15.06    14.67     2.63    -4.45   -16.55    11.92     3.14     0.39     2.75    12.50    61.74    12.33    13.05
    -5.00    60.00    18.17    17.63     3.55    -4.74   -23.67    13.83     4.34     0.54     3.80    12.44    59.35    10.30    11.08
    -5.00    70.00    21.34    20.63     4.55    -5.08   -32.02    15.65     5.69     0.70     4.99    12.36    57.01     8.86     9.68
    -5.00     0.00     0.01    -0.01    -0.93    -3.43    -0.22    -0.01    -0.00    -0.03     0.03     0.00    74.62 ******** ********
    -5.00   -10.00    -2.93    -2.97    -1.43    -3.23    -0.88    -2.82    -0.15    -0.04    -0.11    27.80    77.39    61.10    61.60
    -5.00   -20.00    -5.86    -5.95    -1.88    -3.03    -2.85    -5.37    -0.57    -0.09    -0.48    15.30    80.24    30.57    31.13
    -5.00   -30.00    -8.79    -8.95    -2.26    -2.80    -6.12    -7.72    -1.23    -0.16    -1.07    13.22    83.16    20.43    21.04
    -5.00   -40.00   -11.72   -11.99    -2.57    -2.54   -10.70    -9.89    -2.09    -0.27    -1.83    12.67    86.16    15.36    16.03
    -5.00   -50.00   -14.67   -15.06    -2.83    -2.26   -16.55   -11.92    -3.14    -0.39    -2.75    12.50    89.25    12.33    13.05
    -5.00   -60.00   -17.63   -18.17    -3.02    -1.95   -23.67   -13.83    -4.34    -0.54    -3.80    12.44    92.44    10.30    11.08
    -5.00   -70.00   -20.63   -21.34    -3.15    -1.62   -32.02   -15.65    -5.69    -0.70    -4.99    12.36    95.74     8.86     9.68
   -10.00     0.00     0.02    -0.02    -0.86    -3.41    -0.49    -0.02    -0.00    -0.05     0.05     0.00    74.77 ******** ********
   -10.00    10.00     3.00     2.93    -0.29    -3.60    -1.15     2.84     0.15     0.06     0.09    40.72    72.07    60.94    61.44
   -10.00    20.00     5.99     5.88     0.35    -3.79    -3.14     5.41     0.58     0.11     0.47    18.63    69.43    30.44    30.99
   -10.00    30.00     9.01     8.83     1.06    -3.98    -6.44     7.77     1.25     0.18     1.06    14.70    66.86    20.33    20.94
   -10.00    40.00    12.07    11.78     1.84    -4.20   -11.06     9.95     2.12     0.29     1.83    13.48    64.34    15.28    15.95
